song_id;artist;title;duration
1;Riot Resonance;Night Skies' Melodies: Sonic Stardust - Starry-Eyed;128
2;Plasma Pioneers;Serenade for Outcasts: Synthetic Sunset Symphony;235
3;Sonic Scaffold;Bella fetched a stick, daydreaming about interstellar travel.;449
4;Frequency Frenzy;Neon Nightmare Ballad: Electric Lullaby - Amped Nap;435
5;Galactic Ghosts;Astral Aftermath Symphony: Quantum Quake Revelry - Quirky Quanta;179
6;Sonic Synthesis;Chloe dug a hole in the sand, contemplating the principles of democracy.;263
7;Synthwave Shock;Stellar Insurgence: Celestial Echoes Symphony;563
8;Laser Lullaby;Time-Traveling Street Saga: Chrono Chaos;128
9;Ultraviolet Uprising;Voltage Virago's Symphony: Defiant Echoes;140
10;Galactic Groove;Retrograde Riot in the Time-Warped Streets;516
11;Pulse Prophecy;Heartbeat of the Cybernetic: Pixel Pulse Serenade;498
12;Cyber Surge;Voltage Vortex of the Urban Outcasts;385
13;Analog Assault;Concrete Canyons' Ballads: Lunar Rapture;394
14;Analog Assault;Sonic Revolutionaries: Rebel Rhapsody;176
15;Cyber Surge;Toxic Tango under Acid Rainfall Veil;356
16;Sonic Scaffold;Dystopian Landscape Ballad: Nuclear Nocturne - Atomic Yawn;421
17;Frequency Frenzy;Cyberpunk Chronicles: Urban Mavericks' - CTRL+ALT+DEL;394
18;Gravity Gyrators;Radiant Riff of the Nuclear Night;520
19;Riot Resonance;Luna fetched a pinecone, contemplating the intricacies of gourmet cooking.;420
20;Retro Rhapsody;Echoes from the Underground: Midnight Mirage;381
21;Ultraviolet Uprising;Time-Warped Streets: Retrograde Riot Saga;116
22;Nebula Nexus;Chloe chased after her own shadow, reflecting on the concept of duality.;426
23;Chroma Chaos;Streetlight Secrets: Symphony of Shadows - Lampooned;183
24;Voltage Vagabonds;Rebel Rhapsody of the Sonic Revolutionaries;377
25;Pulse Prophecy;Charlie dug up a flower bed, reflecting on the works of Shakespeare.;330
26;Nebula Nexus;Uprising in Silence: Underground Chronicles;230
27;Velocity Vortex;Paradox Parade: Rebels' Timeless March - Temporal Twerking;563
28;Nebula Nexus;Chrono Chaos in the Time-Traveling Streets;227
29;Analog Assault;Toxic Tango in the Radioactive Rain;585
30;Satellite Shockwave;Radiant Riff: Nuclear Night's Melodic Overture;224
31;Spectrum Sonic;The Most Mysterious Song Of The Internet;235
32;Sonic Scaffold;Digital Desolation on the Electronic Frontier;506
33;Dynamo Dawn;Max sniffed a flower, pondering the philosophy of environmental conservation.;539
34;Catalyst Crash;Olive fetched a crumpled paper, daydreaming about a career as a detective.;385
35;Sonic Spectrum;Midnight Rebellion Ballad: Lunar Lullaby - Sleepy Insurgence;132
